goos: windows
goarch: amd64
pkg: inmemcache
cpu: Intel(R) Core(TM) i7-14700K
                                            │ results/bench.txt │
                                            │      sec/op       │
Cache/impl=otter/dist=uniform/mix=r50-8          32.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r10            57.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r10-2          57.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r10-4          58.00 ±   0%
Cache/impl=otter/dist=uniform/mix=r10-8          58.00 ±   0%
Cache/impl=otter/dist=zipf/mix=r100              0.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r100-2            0.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r100-4            0.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r100-8            0.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r90               6.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r90-2             6.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r90-4             6.000 ±   0%
Cache/impl=otter/dist=zipf/mix=r90-8             6.000 ±   0%
