goos: linux
goarch: amd64
pkg: inmemcache
cpu: AMD Ryzen 9 9950X3D 16-Core Processor          
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100          	 5652944	       187.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100          	 6812902	       177.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100          	 6657189	       179.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-2        	12358752	       107.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-2        	11682056	       102.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-2        	11828928	       100.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-2        	12957436	        94.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-2        	13071460	        96.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-4        	22696425	        51.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-4        	23931186	        51.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-4        	22332474	        51.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-4        	23324578	        53.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-4        	22915696	        51.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-8        	29590755	        39.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-8        	24573691	        43.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-8        	26817171	        38.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkCache/impl=rwmutex/dist=uniform/mix=r100-8        	26824770	        40.22 ns/op	       0 B/op	       0 allocs/op
